eventid,iyear,imonth,iday,nkill
198711020002,1987,11,2,0
198812240001,1988,12,24,1
198105190005,1981,5,19,0
198505160049,1985,5,16,0
198304170009,1983,4,17,0
198108130008,1981,8,13,0
198109020005,1981,9,2,0
198905100006,1989,5,10,0
198311140011,1983,11,14,0
198102030013,1981,2,3,0
198508240002,1985,8,24,1
198902170013,1989,2,17,0
198707200001,1987,7,20,0
198505160010,1985,5,16,0
198711050007,1987,11,5,19
198711060008,1987,11,6,0
198902250004,1989,2,25,0
198811120002,1988,11,12,0
198601280001,1986,1,28,0
198802190004,1988,2,19,0
198707280011,1987,7,28,1
198707210014,1987,7,21,0
198711190027,1987,11,19,0
198109170006,1981,9,17,0
198506100011,1985,6,10,0
198108080004,1981,8,8,0
198306270007,1983,6,27,4
198207280002,1982,7,28,0
197803120002,1978,3,12,0
198507230008,1985,7,23,18
198404050002,1984,4,5,0
197404300001,1974,4,30,0
198311180002,1983,11,18,0
198003240004,1980,3,24,0
197904240006,1979,4,24,0
198308200002,1983,8,20,0
198110100003,1981,10,10,2
198907230008,1989,7,23,0
198509090005,1985,9,9,0
198802130006,1988,2,13,0
198505080004,1985,5,8,0
198401010034,1984,1,1,5
198707210002,1987,7,21,0
198204210001,1982,4,21,0
198309140005,1983,9,14,5
198312130009,1983,12,13,30
198409230002,1984,9,23,1
198205040003,1982,5,4,0
198010240001,1980,10,24,0
198210260009,1982,10,26,0
198711190024,1987,11,19,0
198902060005,1989,2,6,0
198108170012,1981,8,17,0
198812290002,1988,12,29,0
198807020009,1988,7,2,0
198508190003,1985,8,19,0
198505170006,1985,5,17,0
